study_id	doi	pmid	year	species	taxon	stressor	stressor_category	conditioning_stage	dose_treatment	duration	generations	transmission	challenge	persistence_days	multiple_timepoints	decay	readouts	direction	effect_magnitude	molecular_layers	concordance	applied_framing	replication	evidence_source	editorial_notice	notes	cluster
Parker_2012	10.1111/j.1365-2486.2011.02520.x	not reported	2012	Saccostrea glomerata	Bivalve	reduced pH (elevated pCO2)	pH/OA	Broodstock/adult	856 uatm pCO2 (pH_NBS 7.89-7.90) vs ambient 380-385 uatm (pH_NBS 8.19-8.20)	reproductive conditioning from gametogenesis to gravid stage; exact length not obtainable from accessible text (paywalled)	F0-F1	Both parents	elevated pCO2 856 uatm through larval development	~0	Yes	Not tested	larval shell growth; rate of development; larval survival; adult standard metabolic rate	Improved	larvae from pCO2-exposed adults were larger (~10% larger per Venkataraman et al. 2019 re-quote) and developed faster at elevated pCO2, with similar survival; selectively bred larvae more resilient than wild; adult SMR increased under elevated pCO2	None	Not evaluated	Aquaculture	wild and selectively bred (industry fast-growth) lines; tank replication not obtainable from accessible text	Abstract + citations	None found	Foundational S. glomerata transgenerational OA study that all later Parker/Ross work builds on; both a wild and a selectively bred line were used and the bred line was more OA-tolerant, confounding non-genetic priming with standing genetic variation; paywalled so duration and replication could not be extracted	Bivalve: temperature & pH
Parker_2015	10.1371/journal.pone.0132276	26147612	2015	Saccostrea glomerata	Bivalve	reduced pH (elevated pCO2)	pH/OA	Multiple	856 uatm pCO2 (pH_T 7.90, Omega_arag 1.95) vs ambient 385 uatm (pH_T 8.20, Omega_arag 3.43); TA 2329-2334 umol/kg, 24 C, salinity 34.5	F0 adults 5 weeks to gravid stage; F1 larvae 19-21 d to eyed stage; F1 adults re-exposed 5 weeks; F2 larvae 19 d; F2 spat 6 d	F0-F1-F2	Both parents	elevated pCO2 856 uatm re-applied to F1 adults (5 w) and to F2 larvae (19 d) and F2 spat (6 d)	~426	Yes	Persisted	F1 adult extracellular pH (pHe) and standard metabolic rate; F2 larval survival, % eyed, % abnormality, shell length; F2 spat shell growth and heart rate	Improved	F1 pCO2-history adults dropped only -0.30 pHe units at 856 uatm vs -0.43 in controls (MS=0.02, F=25.26, df=1, p<0.01); 73% of F2 pCO2-history larvae reached eyed stage at 856 uatm vs 50% of controls (MS=1408.33, F=10.56, p<0.05); F2 abnormality lower at elevated pCO2 (F=6.00, p<0.05); F2 spat grew faster and had higher heart rate at both pCO2 levels; whole-organism SMR increase did NOT differ between lines (F=132.96 for CO2, no line effect)	None	Not evaluated	Aquaculture	3 replicate 40 L tubs per treatment fed from 3 x 750 L header tanks; 50 adults per tub; gametes pooled from >=10 males and >=10 females per line; 3 replicate 200 L larval tanks per line; spat 3 x 30 individuals per line; 6 adults per line x treatment for pHe/SMR	Full text	None found	The single most important persistence result in bivalve conditioning: benefit survived 14 months of common-garden ambient CO2 in the field between F1 settlement and F1 adult re-exposure. Trade-off flagged by the authors: F2 pCO2-line larvae were SMALLER at 1 d post-fertilization (reduced maternal provisioning) yet outperformed controls by day 19, and the faster growth/heart rate may reflect selection for high metabolic rate, which narrows thermal windows and raises food demand. Group spawning (10x10 pooled) means natural selection on ~46% larval mortality cannot be separated from non-genetic inheritance	Bivalve: temperature & pH
Parker_2017	10.1098/rsbl.2016.0798	28202683	2017	Saccostrea glomerata	Bivalve	reduced pH (elevated pCO2) parental priming; larvae then challenged with pCO2 crossed with temperature, salinity and food	pH/OA	Broodstock/adult	parents 856 uatm vs 392 uatm pCO2; larval challenge factorially with 28 C vs 24 C, salinity 25 vs 35, half vs full algal diet	8 weeks, from the beginning of gametogenesis until gravid stage	F0-F1	Both parents	elevated pCO2 856 uatm alone and factorially combined with 28 C, salinity 25 and half food ration; 15 d larval rearing	~0	Yes	Not tested	larval shell length (15 d); % development to umbonate stage (9 d); % survival (through 15 d); larval standard metabolic rate (15 d)	Mixed	under elevated pCO2 alone larvae from pCO2-exposed parents were 8% larger (143.5 +/- s.e. 1.5 um vs 132.5 +/- s.e. 3.0 um) and developed faster; BUT total survival was lower (0.24 vs 0.30; F(1,28)=5.73, p<0.05) and there was 0% survival of pCO2-parent larvae by day 13 in the pCO2+temperature treatment and by day 15 in pCO2+temperature+salinity+food; larvae from pCO2-exposed parents had higher SMR	None	Not evaluated	Aquaculture	3 replicate parental tanks per exposure (6 experimental units); 3 replicate 20 L fertilization buckets per treatment per parental exposure; unbalanced ANOVA because all replicates died in some cells	Full text	None found	The canonical MALADAPTIVE case: the same parental OA priming that helps under OA alone is lethal under co-stressors, because the mechanism (elevated larval SMR) accelerates energy depletion. Egg size and total lipid did not differ between parental treatments, so the effect is not maternal provisioning. Authors note parents were primed with pCO2 only, not with the full stressor suite the larvae met, and that a longer parental exposure might have given a different result	Bivalve: temperature & pH
Parker_2021	10.1242/jeb.239269	not reported	2021	Saccostrea glomerata	Bivalve	reduced pH (elevated pCO2) crossed with tidal habitat (intertidal emersion vs subtidal immersion)	pH/OA	Broodstock/adult	elevated 1000 uatm vs ambient 400 uatm pCO2, crossed with intertidal (simulated daily emersion, metabolic hypercapnia) vs subtidal (constant immersion)	5 weeks of combined tidal x pCO2 reproductive conditioning to gravid stage	F0-F1	Both parents	larvae reared at ambient or elevated pCO2 for 48 h	~2	No	Not tested	larval shell size; % abnormality; % development; larval metabolic rate	Mixed	elevated pCO2 reduced larval size by 9% in offspring of subtidal parents but only 4% in offspring of intertidal parents (habitat x CO2 interaction), so intertidal-conditioned larvae at elevated pCO2 matched subtidal-conditioned larvae at ambient pCO2; however subtidal parents exposed to elevated pCO2 transmitted a beneficial carryover effect while intertidal parents exposed to elevated pCO2 transmitted NO improvement; parent habitat had no effect on % abnormality	None	Not evaluated	Aquaculture	n = 3 replicates per tidal x pCO2 treatment	Full text	None found	Natural conditioning contrast (tidal habitat) crossed with experimental OA in the laboratory. Key pattern: intertidal provenance buys higher baseline tolerance but COSTS the capacity for beneficial transgenerational plasticity, i.e. existing tolerance and inducible tolerance trade off. Implies TGP measured on subtidal broodstock will overestimate the benefit available across a species range. Only a 48 h post-fertilization assessment, so no persistence window	Bivalve: temperature & pH
Parker_2025	10.1016/j.marenvres.2025.107540	41015001	2025	Saccostrea glomerata	Bivalve	reduced pH (elevated pCO2)	pH/OA	Broodstock/adult	elevated 1000 uatm vs ambient 410 uatm pCO2	9 weeks of reproductive conditioning	F0-F1	Both parents	D-veliger larvae reared 48 h at ambient (410 uatm) or elevated (1000 uatm) pCO2	~2	No	Not tested	% development; % abnormality; shell length; larval respiration rate	Mixed	quoted: significant variability in TGP responses among families to elevated pCO2, with positive, negative, and neutral responses in larval offspring across the four families; per-family magnitudes not given in the abstract	None	Not evaluated	Aquaculture	4 genetically distinct families, within-family crosses	Abstract only	None found	Directly tests the assumption behind every other TGP row here: the species-average response hides families whose offspring are HARMED by parental priming. Any hatchery application therefore needs family-level screening. Paywalled, so doses beyond the two pCO2 levels, exact replication and effect sizes are unavailable	Bivalve: temperature & pH
Filippini_2025	10.1016/j.marpolbul.2025.118896	41202725	2025	Saccostrea glomerata	Bivalve	elevated temperature (ocean warming)	Temperature	Broodstock/adult	28 C (warm) vs 24 C (control)	~8 weeks during reproductive conditioning	F0-F1	Both parents	48 h larval exposure across a thermal gradient of 24.3-36.0 C; LT50 determined	~2	No	Not tested	% development; % abnormality; shell size; larval LT50	Mixed	larvae from warm (28 C) parents had greater development and lower abnormality but were SMALLER at higher temperatures than larvae from 24 C parents; parental warming raised larval LT50 by approximately 2.0 C in one of the two families	None	Not evaluated	Aquaculture	2 genetically distinct families, within-family crosses	Abstract only	None found	One of very few bivalve TGP studies using warming rather than OA as the conditioning stressor, and one of the only ones reporting a thermal-tolerance effect size (LT50 +2.0 C). Benefit is family-specific and traded off against larval size. Journal DOI is not yet in the Scite index (only the SSRN preprint 10.2139/ssrn.5269282 resolves there); DOI confirmed via PubMed and no editorial notices found on either record	Bivalve: temperature & pH
Goncalves_2016	10.1111/mec.13808	not reported	2016	Saccostrea glomerata	Bivalve	reduced pH (elevated pCO2)	pH/OA	Multiple	F2 challenge 625 uatm pCO2 (pH 7.87) vs ambient 387 uatm (pH 8.03); transgenerational acclimation applied over three consecutive generations	elevated pCO2 across three consecutive generations, then a 1 week F2 juvenile exposure before transcriptional analysis	F0-F1-F2	Both parents	elevated pCO2 625 uatm for 1 week (F2 juveniles)	~0	No	Not tested	targeted stress-response gene expression (ecSOD, catalase, peroxiredoxin 6, metabolism and cytoskeleton genes); no organismal performance endpoint	Not assessable	transgenerationally acclimated B2-line oysters had HIGHER expression of all differentially expressed genes (fold change >=1.4) than non-acclimated B2 under pCO2 stress, whereas pCO2-acclimated wild-type oysters showed widespread DOWNregulation under the same stress; transgenerational exposure altered both basal and inducible expression	Targeted qPCR	Discordant	Aquaculture	2 genetically distinct breeding lines (B2 disease-resistant fast-growing selected line vs wild type)	Full text	None found	The molecular counterpart to Parker's phenotypic TGP in the same species, and it shows the direction of transcriptional acclimation FLIPS with genetic background (up in the selected line, down in wild type). There is therefore no single molecular signature of successful priming in this species. No performance readout, so molecular-phenotypic concordance cannot be tested within the paper	Bivalve: temperature & pH
Gibbs_2021	10.1093/icesjms/fsab071	not reported	2021	Saccostrea glomerata; Magallana gigas (Crassostrea gigas)	Bivalve	reduced pH (elevated pCO2) and elevated temperature, orthogonal	Multiple	Broodstock/adult	orthogonal ambient vs elevated pCO2 and ambient vs elevated temperature; numeric levels not stated in the abstract	8 weeks of adult exposure, then 9 d larval rearing	F0-F1	Both parents	larvae reared 9 days under ambient or elevated pCO2	~0	No	Not tested	egg lipidome; larval morphology; larval lipidome	Mixed	quoted: parental exposure to warming and elevated pCO2 led to limited beneficial transgenerational responses for eggs and larvae of both species; S. glomerata larvae were more sensitive than C. gigas; both species had some capacity for TGP; authors conclude TGP may not be a panacea and does not act equally across species	None	Not evaluated	Aquaculture	not reported	Abstract only	None found	Important as an explicit negative/limited result from the same group that produced the strongest positive TGP findings, and one of the few designs conditioning parents with warming AND OA together. Doses, durations beyond the 8 w exposure, replication and effect sizes are behind a paywall; lipidomics is the only mechanistic layer and it is not paired with a molecular-epigenetic readout	Bivalve: temperature & pH
Pereira_2020	10.1371/journal.pone.0228527	32275675	2020	Ostrea angasi; Saccostrea glomerata	Bivalve	acute sublethal heat shock (stress inoculation) followed by chronic habitat warming	Temperature	Broodstock/adult	heat shock 26 C for 18 h then 28 C for 6 h (24 h total, +6 C then +2 C from 20 C) vs 20 C control; challenge = power-station thermal outfall, mean 24.56 +/- 4.59 C, daily max 32.81 +/- 0.39 C vs ambient site mean 20.06 +/- 3.85 C	24 h heat shock; 12 h ramp-down; ~1 week at ambient 20 C in the estuary; then ~7 months (May-Dec) field deployment	F0	Within-generation only	~7 months of continuous elevated field temperature at two power-station thermal outfalls	~220	No	Not tested	shell growth (mm/d); condition index; standard metabolic rate; total lipid and lipid class profile (TAG, phospholipids); survival	Mixed	O. angasi survival at elevated temperature was 80% in heat-shocked vs 53% in non-shocked oysters (and 100% vs 90% at ambient); PERMANOVA heat shock x temperature F=16.61, p<=0.04. BUT heat-shocked O. angasi grew LESS at ambient temperature (0.08 +/- 0.01 vs 0.10 +/- 0.01 mm/d), and shell growth at elevated temperature was ~10-fold lower than at ambient regardless of priming. S. glomerata shell growth was unaffected by temperature or heat shock; condition index fell with temperature in both species irrespective of priming. Elevated temperature lowered O. angasi TAG	None	Not evaluated	Both	5 baskets recovered (2 ambient, 3 elevated); 10 oysters per species per treatment per basket; 120 oysters at elevated and 80 at ambient temperature; SMR n=9-11 per species/treatment/basket; lipids n=5 (n=3 and n=2 for two heat-shock groups at one site)	Full text	None found	One of the few studies that quantifies the COST of priming: heat shock reduced ambient-temperature growth in O. angasi while raising survival under warming. Authors' own conclusion is that early stress inoculation does not enhance resilience and may not be a useful strategy for O. angasi restoration. They flag the 24 h shock as possibly too short for HSP accumulation or epigenetic shifts. Uses a thermal outfall as a real-world warming proxy, which also means the challenge was uncontrolled and multi-stressor	Bivalve: temperature & pH
Gurr_2020	10.1093/conphys/coaa024	32274068	2020	Panopea generosa	Bivalve	reduced pH (elevated pCO2, aragonite undersaturation)	pH/OA	Juvenile	initial exposure 2345 +/- 20 uatm pCO2, pH_T 7.31, Omega_arag 0.41 vs ambient 608 +/- 11 uatm, pH_T 7.8, Omega_arag 1.35; secondary exposure 2551 +/- 42 uatm, pH_T 7.27, Omega_arag 0.39 vs 506 +/- 5 uatm, pH_T 7.93, Omega_arag 1.60; ambient common garden 557 +/- 17 uatm, pH 7.9, Omega 1.46	initial 10 d exposure; 14 d ambient common garden; secondary 6 d reciprocal exposure; then 157 d ambient common garden	F0	Within-generation only	reciprocal 6 d elevated pCO2 (2551 uatm) at days 24-30, then 157 d ambient common garden	157	Yes	Strengthened	respiration rate (ug O2/h/mm shell length); shell length; survival	Improved	initial 10 d elevated pCO2 depressed respiration 25% (CO2 F=7.512, p=0.007) with no effect on shell length; respiration difference from initial treatment was still detectable after 14 d in ambient common garden (Welch t=2.673, p=0.015); shell length was reduced ~4% by initial and ~3.2% by secondary elevated pCO2 during the second encounter (F=15.821, p<0.001 and F=9.917, p=0.002); after 157 d in ambient common garden, initially-primed clams were 5.8% LARGER (F=5.228, p=0.023) and secondarily-exposed clams had 52.4% HIGHER respiration (F=13.008, p=0.001); all animals survived the 30 d exposure, 1-4 deaths per tray over grow-out	None	Not evaluated	Aquaculture	4 conical header tanks and 4 heath trays per treatment; 80 clams per tray (n=640 total); 2 trays per initial x secondary treatment combination in the reciprocal phase; respirometry 3 vials of 10 individuals per tray during exposures, 1 individual per vial at 157 d; 3 blank vials per tray	Full text	None found	Best-quantified persistence window in the bivalve literature (157 d common garden) and a rare STRENGTHENING rather than decay: the effect on shell length was absent at 14 d, negative at 30 d, and positive at 187 d. Authors are candid that a 5.8% size gain is unlikely to repay the feed needed to sustain 52% higher respiration, and that the shell response may partly reflect the second exposure being 0.04 pH units more severe than the first plus seasonal warming. Metabolic depression (not elevation) was the primed phenotype, opposite to Parker's S. glomerata	Bivalve: temperature & pH
