record_key,doi,first_author,year,title,source,decision,exclude_reason,maps_to_study_key,screened_by,notes
soldourdin2024,NR,Sol Dourdin,2024,Ancestors' Gift: Parental Early Exposure to the Environmentally Realistic Pesticide Mixture Drives Offspring Phenotype in a Larger Extent Than Direct Exposure in the Pacific Oyster,anchor-set,include,,soldourdin2024,seed,transgenerational pesticide priming; methylome+transcriptome+metamorphosis+field survival
liew2018,10.1126/sciadv.aar8028,Liew,2018,Epigenome-associated phenotypic acclimatization to ocean acidification in a reef-building coral,anchor-set,include,,liew2018,seed,within-generation OA acclimatization; WGBS+RNA-seq+morphometrics
eirinlopez2019,10.1146/annurev-marine-010318-095114,Eirin-Lopez,2019,Marine Environmental Epigenetics,anchor-set,exclude,review,,seed,field-defining review; no new primary conditioning experiment
venney2023,10.1093/gbe/evad216,Venney,2023,The Evolutionary Complexities of DNA Methylation in Animals: From Plasticity to Genetic Evolution,anchor-set,exclude,review,,seed,perspective; no new empirical data
gavery2017,10.7717/peerj.4147,Gavery,2017,Epigenetic considerations in aquaculture,anchor-set,exclude,review,,seed,program/review piece; origin of applied epigenetic-memory framing
yevenes2024,10.1016/j.heliyon.2023.e23695,Yevenes,2024,Epigenetic variation mediated by lncRNAs accounts for adaptive genomic differentiation of the endemic blue mussel Mytilus chilensis,anchor-set,exclude,not-priming,,seed,observational field site contrast; no deliberate conditioning manipulation
kenkel2016,10.1038/s41559-016-0014,Kenkel,2016,Gene expression plasticity as a mechanism of coral adaptation to a variable environment,anchor-set,exclude,not-priming,,seed,reciprocal transplant of wild genotypes; plasticity trait not an induced priming dose
bird2002,10.1101/gad.947102,Bird,2002,DNA methylation patterns and epigenetic memory,openalex,exclude,not-marine,,auto-screen,priming language but not marine taxon
orr2005,10.1038/nature04095,Orr,2005,Anthropogenic ocean acidification over the twenty-first century and its impact on calcifying organisms,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
beck2001,10.1641/0006-3568(2001)051[0633:ticamo]2.0.co;2,Beck,2001,"The Identification, Conservation, and Management of Estuarine and Marine Nurseries for Fish and Invertebrates",openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
breitburg2018,10.1126/science.aam7240,Breitburg,2018,Declining oxygen in the global ocean and coastal waters,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
fabricius2011,10.1038/nclimate1122,Fabricius,2011,Losers and winners in coral reefs acclimatized to elevated carbon dioxide concentrations,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
stuiver1998,10.1017/s0033822200019123,Stuiver,1998,"INTCAL98 Radiocarbon Age Calibration, 24,000–0 cal BP",openalex,exclude,not-priming,,auto-screen,false-positive priming language
coen2007,10.3354/meps341303,Coen,2007,Ecosystem services related to oyster restoration,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
avio2015,10.1016/j.envpol.2014.12.021,Avio,2015,Pollutants bioavailability and toxicological risk from microplastics to marine mussels,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
torda2017,10.1038/nclimate3374,Torda,2017,Rapid adaptive responses to climate change in corals,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
poloczanska2013,10.1038/nclimate1958,Poloczanska,2013,Global imprint of climate change on marine life,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
sussarellu2016,10.1073/pnas.1519019113,Sussarellu,2016,Oyster reproduction is affected by exposure to polystyrene microplastics,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
vaughn2018,10.1146/annurev-ecolsys-110617-062703,Vaughn,2018,Bivalve Impacts in Freshwater and Marine Ecosystems,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
