10.1111/gcb.17592	The Loss of Beneficial Thermal Priming on Global Coral Reefs	Not a primary empirical experiment on organisms: retrospective statistical/modelling analysis of a global bleaching-survey database plus satellite SST, with priming inferred remotely. NOTE FOR CURATOR: substantively important - it reports that priming mitigated bleaching by up to 12% before a moderate marine heatwave but that the protective effect DECREASED AND BECAME HARMFUL under more severe heatwaves. Consider a special-case row if the atlas admits observational syntheses.
10.1111/nph.19996	Pushing the limits: expanding the temperature tolerance of a coral photosymbiont through differing selection regimes	Conditioning applied to cultured Symbiodiniaceae (Durusdinium trenchii) only, not to a marine invertebrate host; culture-only experimental evolution, excluded by criterion 1.
10.1371/journal.pone.0309719	Assisted sexual coral recruits show high thermal tolerance to the 2023 Caribbean mass bleaching event	No deliberate priming or sublethal pre-exposure: compares assisted-sexual recruits with co-occurring corals during a natural bleaching event (genet-diversity/age contrast, not a conditioning contrast).
10.1038/s42003-023-04758-6	No apparent trade-offs associated with heat tolerance in a reef-building coral	No conditioning phase: tests standing within-population variation in heat tolerance and its trade-offs with growth/fecundity; no sublethal pre-exposure before the challenge.
10.1098/rspb.2022.0872	Within-population variability in coral heat tolerance indicates climate adaptation potential	No conditioning phase: quantifies within-population variation in bleaching thresholds under a single experimental heatwave.
10.1016/j.marpolbul.2012.09.006	Thermal tolerances of reef corals in the Gulf: a review of the potential for increasing coral survival and adaptation to climate change through assisted translocation	Review/assessment paper, not a primary empirical study (criterion 4).
10.1038/s41396-022-01349-x	Long-term maintenance of a heterologous symbiont association in Acropora palmata on natural reefs	Intervention is symbiont (Durusdinium) association/inoculation and its persistence after outplanting, not a thermal preconditioning exposure; no priming-then-challenge design.
10.1111/gcb.13702	Rapid thermal adaptation in photosymbionts of reef-building corals	Selection/conditioning applied to Symbiodinium C1 in culture for ~80 asexual generations; corals only received the pre-selected cells. Priming was not applied to the invertebrate (criterion 2).
10.1186/s40168-021-01053-6	Towards enhancing coral heat tolerance: a microbiome transplantation treatment using inoculations of homogenized coral tissues	Intervention is microbiome transplantation (inoculation with donor tissue homogenate), not a sublethal thermal/abiotic priming exposure.
10.1242/jeb.243344	Predicting selection-response gradients of heat tolerance in a widespread reef-building coral	Selective breeding / reproductive crosses across thermally distinct reefs; no sublethal priming exposure applied before the challenge.
10.1371/journal.pone.0236399	Interventions to help coral reefs under global change - A complex decision challenge	Perspective / decision-framework paper, not a primary empirical study (criterion 4).
10.1242/bio.047316	Assessing the role of historical temperature regime and algal symbionts on the heat tolerance of coral juveniles	Selective breeding (warm x cool crosses) plus symbiont inoculation; parental provenance is genetic, not an applied priming exposure, and no sublethal pre-exposure phase was imposed.
10.1111/mec.16064	Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance	Provenance-only frontloading contrast (Gulf of Aqaba vs central Red Sea) with no experimental preconditioning phase; retained in the excluded file because Barshis 2013 and Weizman 2021 already represent the frontloading/natural-conditioning category. NOTE FOR CURATOR: qualifies under criterion 2 as a natural conditioning contrast (frontloading) and reports thresholds ~7 C above MMM with fixed high (front-loaded) expression in central Red Sea corals - promotable to a row if the frontloading category is expanded.
10.7717/peerj.15987	Divergent recovery trajectories of intertidal and subtidal coral communities highlight habitat-specific recovery dynamics following bleaching in an extreme macrotidal reef environment	Benthic community surveys only; no individual-level priming exposure and no later challenge applied to identified individuals.
10.1038/s41598-017-14794-y	Marine heatwave causes unprecedented regional mass bleaching of thermally resistant corals in northwestern Australia	Observational bleaching survey during a natural heatwave; no priming exposure and no controlled later challenge.
