Middlebrook_2008	10.1242/jeb.013284	18344478	2008	Acropora aspera	Coral/cnidarian	elevated temperature (sublethal pre-stress pulse)	Temperature	Broodstock/adult	pre-stress 31 C for 48 h vs ambient control (~27 C); bleaching challenge 34 C	48 h pre-stress pulse	F0	Within-generation only	6-day simulated bleaching event at 34 C	7; 14	Yes	Persisted	symbiont (Symbiodinium) density; photosynthetic efficiency (Fv/Fm); non-photochemical quenching; xanthophyll cycling	Improved	non-prestressed corals lost >40% of symbionts and had greater reduction in photosynthetic efficiency; prestressed corals showed decreased symbiont loss and more effective photoprotection	None	Not evaluated	None	not reported	Abstract + citations	None found	Classic thermal-history experiment: pre-stress applied either 1 or 2 weeks before the bleaching event, so this is one of the few designs with two explicit persistence windows; protection held at both. Authors caution acclimation cannot offset warming beyond 1-2 C. Full text paywalled; replication and exact control temperature not obtainable.
Bellantuono_2012	10.1098/rspb.2011.1780	21976690	2012	Acropora millepora	Coral/cnidarian	elevated temperature (sublethal preconditioning 3 C below bleaching threshold)	Temperature	Broodstock/adult	preconditioning 28 C (3 C below experimentally determined bleaching threshold) vs unheated control; challenge 31 C, ramped at 2 C/day	10 d preconditioning at 28 C	F0	Within-generation only	8 days at 31 C (hyperthermal challenge)	0	Yes	Persisted	bleaching (visual); Symbiodinium density; Symbiodinium ITS genotype; bacterial community (DGGE); host transcriptome	Improved	non-preconditioned corals bleached while preconditioned corals maintained Symbiodinium density over 8 d at 31 C; 9 genes separated preconditioned from non-preconditioned, 42 genes control vs preconditioned, 70 genes non-preconditioned vs control	Targeted qPCR; Transcriptome (RNA-seq)	Not evaluated	None	replicate tanks per treatment (n not resolved from accessible text); one nubbin sampled per replicate tank per timepoint	Full text	None found	Row merges the two companion papers reporting the SAME preconditioning experiment per one-row-per-experiment rule: Proc R Soc B 10.1098/rspb.2011.1780 (physiology, symbiont/bacterial genotyping) and Bellantuono et al. 2012 PLoS ONE 10.1371/journal.pone.0050685 / PMID 23226355 (cDNA microarray transcriptome). The PLoS ONE companion carries a published CORRECTION (notice DOI 10.1371/annotation/2b623dcd-9413-47b0-990d-c46c8e662ad4, 2013-10-21). Molecular layer is cDNA microarray, coded here as Transcriptome. Key finding: acquired tolerance was NOT explained by symbiont or bacterial community shifts, implicating host/symbiont physiological plasticity; apoptosis inhibition implicated.
Barshis_2013	10.1073/pnas.1210224110	23297204	2013	Acropora hyacinthus	Coral/cnidarian	elevated temperature; natural provenance contrast (highly variable vs moderately variable back-reef pool)	Temperature	Broodstock/adult	provenance contrast: highly variable (HV) pool (regularly >35 C, well above 30.2 C regional bleaching threshold) vs moderately variable (MV) pool; experimental challenge 'simulated bleaching stress' vs genetically identical control fragments held at normal temperature	natural lifetime residency in HV vs MV pool (no imposed laboratory preconditioning phase)	F0	Within-generation only	simulated bleaching stress (short-term tank heat stress)	not reported	No	Not tested	transcriptome-wide gene expression (RNA-seq); physiological resilience/bleaching	Improved	60 genes constitutively higher-expressed ('frontloaded') in resilient HV corals under control conditions; these transcripts were less up-regulated during heat stress in HV corals; 21 of 30 down-regulated genes showed lower baseline in HV controls	Transcriptome (RNA-seq)	Not evaluated	None	clonal fragment pairs (heated vs control) per colony; exact n not resolved from accessible text	Full text	None found	natural conditioning contrast (frontloading). NO experimental preconditioning phase - the contrast is purely provenance-based (Ofu, American Samoa HV vs MV pools) with a common heat challenge; authors explicitly state the acquired stress resistance results from natural exposure to pool extremes rather than a single laboratory mild stress. Frontloaded set includes HSPs, antioxidants, apoptosis regulators, tumour suppressors, innate immunity, cell adhesion.
Palumbi_2014	10.1126/science.1251336	24762535	2014	Acropora hyacinthus	Coral/cnidarian	elevated temperature; reciprocal transplant between thermally distinct reef pools	Temperature	Broodstock/adult	reciprocal transplant between a highly variable (HV) and a moderately variable (MV) back-reef pool at Ofu, American Samoa; set-point temperatures not obtainable (paywalled)	up to <2 years residency in destination pool	F0	Within-generation only	experimental heat stress (tank thermal challenge) after transplantation	not reported	No	Not tested	physiological performance (bleaching/photophysiology); transcriptome-wide gene expression	Improved	acclimatization and fixed (adaptive) effects contributed about equally to heat tolerance; in <2 years acclimatization achieved the same heat tolerance expected from strong natural selection over many generations	Transcriptome (RNA-seq)	Not evaluated	Restoration	not reported	Abstract only	None found	natural conditioning contrast plus an experimental transplant conditioning phase (destination pool = the conditioning treatment). Paywalled: exact transplant durations, challenge temperature, persistence window and replication not obtainable from accessible text. Companion/precursor to Barshis et al. 2013 in the same Ofu system.
Bay_2015	10.1093/gbe/evv085	25979751	2015	Acropora nana	Coral/cnidarian	elevated temperature, stable and diel-variable regimes	Temperature	Broodstock/adult	acclimation at 31 C (stable elevated) or 29-33 C (daily variable, mimicking local heat stress) vs 29 C ambient control	11 d acclimation; variable treatment cycled 29-33 C daily	F0	Within-generation only	acute heat stress: ramp 29 to 34 C over 3 h, 5 h hold at 34 C, return to 29 C overnight	0	Yes	Strengthened	chlorophyll a retained after heat stress (bleaching proxy); transcriptome-wide gene expression	Improved	corals acclimated to 31 C or 29-33 C retained significantly more chlorophyll a after acute heat stress than 29 C controls; heat resistance increased between days 0 and 2 and physiological change complete within 7-11 d; 893 contigs showed acclimation-dependent heat-stress response; no change in baseline expression during acclimation	Transcriptome (RNA-seq)	Discordant	None	3 colonies per tank, 2 tanks per acclimation treatment, 6 colonies per treatment, 18 colonies total; paired heated/control branches per colony	Full text	None found	Key result for the atlas: a diel-variable regime (29-33 C) produced as much acclimation as a stable +2 C regime. Tolerance increased over days 0-2 and 7-11 (strengthening with exposure length, assessed at multiple acclimation durations). Physiology changed WITHOUT baseline expression change - the effect is transcriptional response modulation (dampening), not frontloading; authors distinguish this short-term mode from a longer-term frontloading mode.
Putnam_2015	10.1242/jeb.123018	26246609	2015	Pocillopora damicornis	Coral/cnidarian	elevated temperature combined with elevated pCO2 (ocean acidification)	Multiple	Broodstock/adult	high treatment 28.9 C / 805 uatm pCO2 vs ambient 26.5 C / 417 uatm pCO2	exposure spanned the larval brooding period (exact duration not obtainable; paywalled)	F0-F1	Maternal	re-exposure of larvae to high temperature + high pCO2	not reported	No	Not tested	adult performance; larval size; larval metabolic rate (respiration)	Mixed	adults exposed to the high treatment performed worse; their larvae showed size differences and metabolic acclimation on re-exposure, which larvae from ambient parents did not	None	Not evaluated	None	not reported	Abstract + citations	None found	First evidence of cross-generational parental effects to combined warming and OA in a reef coral. Authors explicitly flag the two-sided interpretation: parental effects may either ameliorate stress via preconditioning OR amplify the negative parental response through LATENT effects on later life stages (potentially maladaptive). Paywalled: conditioning duration, persistence window and replication not obtainable.
Ainsworth_2016	10.1126/science.aac7125	27081069	2016	Acropora aspera	Coral/cnidarian	elevated temperature delivered as alternative temperature trajectories (protective sub-bleaching pre-stress vs single bleaching stress)	Temperature	Broodstock/adult	protective trajectory (sub-bleaching pre-stress pulse followed by relaxation, then bleaching stress) vs single bleaching-stress trajectory vs ambient control; exact set-point temperatures not obtainable (paywalled); field analysis expressed thermal stress in degree heating weeks and as degrees above local climatology	not reported (paywalled)	F0	Within-generation only	experimental bleaching-level thermal stress; plus 30 years of observed GBR thermal stress events	not reported	No	Not tested	coral cell mortality; symbiont loss (bleaching); frequency of protective temperature trajectories across the GBR (satellite SST, 1985-2014)	Improved	protective pre-bleaching stress decreased coral cell mortality and symbiont loss during bleaching by over 50%; 75% of past thermal stress events followed a protective trajectory; a local temperature increase of as little as 0.5 C removes the protective trajectory entirely	None	Not evaluated	None	not reported	Abstract + citations	None found	Flagship 'protective thermal trajectory' paper and the clearest documented LOSS of a protective mechanism: +0.5 C of local warming is enough to eliminate the naturally occurring pre-stress pulse, so the induced protection disappears not by decay within the animal but by disappearance of the priming cue. Paywalled: pre-stress temperature, duration, persistence window and replication all unobtainable - flagged as a priority re-extraction target if the PDF becomes available.
Hawkins_2017	10.1242/jeb.150391	27980125	2016	Exaiptasia pallida	Coral/cnidarian	elevated temperature (warm preconditioning)	Temperature	Broodstock/adult	preconditioning 30 C vs 26 C control; acute challenge 33 C	more than 7 weeks at 30 C	F0	Within-generation only	acute heating to 33 C	0	Yes	Persisted	holobiont respiration; symbiont photosynthetic activity; citrate synthase and mitochondrial ETC complex I, II and IV activities; symbiont loss (bleaching)	Improved	bleaching (significant symbiont loss) delayed by several days in preconditioned anemones; preconditioning raised symbiont photosynthetic activity, holobiont respiration and biomass-normalised host citrate synthase and mETC complex I/IV activities; acute 33 C heating raised host mETC complex I and symbiont mETC complex II activity ONLY in thermally naive animals	None	Not evaluated	None	not reported	Abstract + citations	None found	Rare mechanistic (bioenergetic) preconditioning study in a cnidarian model; proposes host mitochondrial biogenesis/enlargement as the protective mechanism. Long conditioning phase (>7 weeks) relative to most coral priming studies. Full text paywalled: replication and exact assessment schedule not obtainable.
Klepac_2020a	10.1098/rspb.2020.1379	32811319	2020	Porites lobata	Coral/cnidarian	elevated temperature; transplant into a naturally highly variable thermal environment	Temperature	Broodstock/adult	transplant into highly variable (HV) back-reef pool (brief frequent excursions >35 C, vs regional bleaching threshold 30.2 C) vs native moderately variable (MV) and low variability (LV) pools; acute challenge maxima set ~1 C above the HV pool's mid-day low-tide average maximum, chosen to bleach >50% of fragments	6 and 12 months residency in the HV pool common garden	F0	Within-generation only	acute thermal stress assay (ramp programme) after 6 and after 12 months	~180; ~365	Yes	Not tested	photosynthetic efficiency (Fv/Fm); chlorophyll loss; growth	Worsened	HV-native P. lobata were the MOST bleaching-susceptible group compared with MV and LV natives; MV natives were unaffected by acute heat stress, with Fv/Fm approximately 1.2-1.8x higher in heated MV than heated HV and LV corals at both timepoints; transplants into the HV pool showed no improvement in growth or photophysiology	None	Not evaluated	None	60 ramets (~30 cm3), 4 per genet, distributed across two control and two heat tanks (n ~10-15 ramets per tank)	Full text	None found	natural conditioning contrast. STRONGEST 'preconditioning made it WORSE' result in this set: a year in the most thermally variable environment did not raise tolerance and HV natives were the most susceptible, directly contradicting Barshis 2013 / Palumbi 2014 in the same Ofu system. Confound flagged by authors: a regional thermal anomaly during the study (8 degree heating weeks in 2015, up to 5 DHW in 2016, vs <=3 DHW over the prior decade) may have exceeded HV natives' upper limits. Two persistence windows (6 and 12 months) make this one of the longest-window datasets available. | PERSISTENCE SEMANTICS: this value is an exposure / tracking window under continuous or repeated conditioning, NOT days elapsed after conditioning ended. Do not rank it against clean-recovery-gap rows such as Drury_2022 or Lafont_2017.
Klepac_2020b	10.1098/rspb.2020.1379	32811319	2020	Goniastrea retiformis	Coral/cnidarian	elevated temperature; transplant into a naturally highly variable thermal environment	Temperature	Broodstock/adult	transplant into highly variable (HV) back-reef pool vs native moderately variable (MV) and low variability (LV) pools; acute challenge maxima ~1 C above the HV pool's mid-day low-tide average maximum	6 and 12 months residency in the HV pool common garden	F0	Within-generation only	acute thermal stress assay (ramp programme) after 6 and after 12 months	~180; ~365	Yes	Not tested	photosynthetic efficiency (Fv/Fm); chlorophyll loss; growth	Mixed	no differences in Fv/Fm among native and transplanted groups, and no effect of heat treatment in January	None	Not evaluated	None	60 ramets (~30 cm3), 4 per genet, distributed across two control and two heat tanks (n ~10-15 ramets per tank); assayed on a separate day from P. lobata	Full text	None found	natural conditioning contrast. Separate row because the two species were assayed on different days with divergent outcomes. Null result: massive-morphology corals were unresponsive to a year of high thermal variability, so the 'variable environment = higher tolerance' rule appears to be morphology/taxon specific rather than general. | Direction revised from 'No effect' to 'Mixed' on verification: Fv/Fm showed no native-vs-transplant difference, but total chlorophyll fell significantly in MV and LV natives versus transplanted G. retiformis Jan->Jul 2016, and heat did affect G. retiformis in July -- a real transplant cost the original coding hid. | PERSISTENCE SEMANTICS: this value is an exposure / tracking window under continuous or repeated conditioning, NOT days elapsed after conditioning ended. Do not rank it against clean-recovery-gap rows such as Drury_2022 or Lafont_2017.
