Green_2013	10.1016/j.fsi.2013.04.051	23685009	2013	Crassostrea gigas	Bivalve	poly(I:C) (synthetic dsRNA viral mimic); heat-killed Vibrio splendidus as a comparison elicitor	Pathogen/immune	Juvenile	240 ug poly(I:C) per oyster by intramuscular injection vs sterile seawater injection	single injection, 1 d before challenge	F0	Within-generation only	OsHV-1 uvar injection challenge	1	No	Not tested	proportion of virus-infected oysters at 48 h post-infection; immune gene expression (TLR, MyD88, IRF, PKR)	Improved	11% of poly(I:C)-primed oysters OsHV-1-positive at 48 h post-infection vs 100% of seawater controls; priming with heat-killed V. splendidus gave no protection	Targeted qPCR	Not evaluated	Aquaculture	not reported	Abstract only	None found	Foundational paper establishing the poly(I:C) antiviral state in C. gigas; effect measured as infection prevalence not survival; specificity shown by failure of a bacterial elicitor to protect against virus
Green_2016	10.1016/j.molimm.2016.09.002	27616590	2016	Crassostrea gigas	Bivalve	poly(I:C) (synthetic dsRNA viral mimic)	Pathogen/immune	Broodstock/adult	not reported (poly(I:C) injected into parents; dose not stated in the retrievable text; de Kantzow et al. 2023 lists 250 and 500 ug per oyster as doses used across this literature)	single parental injection before spawning	F0-F1	Route not resolved	OsHV-1 exposure of F1 D-veliger larvae	not reported	No	Not tested	F1 larval survival to OsHV-1; IRF2 mRNA in larvae; parental survival	Improved	Offspring of poly(I:C)-treated parents had double the chance of surviving OsHV-1 exposure vs controls; larval mortality at 96 h post-exposure halved relative to seawater-treated broodstock (as restated by de Kantzow et al. 2023); IRF2 mRNA elevated in larvae	Targeted qPCR	Not evaluated	Aquaculture	not reported	Abstract + citations	None found	The foundational transgenerational immune priming (TGEP) paper; authors note poly(I:C) did not affect parental survival so the offspring effect cannot be genetic selection, and propose epigenetic reprogramming or maternal provisioning - but no methylation or chromatin assay was performed
Lafont_2017a	10.1038/s41598-017-13564-0	29030632	2017	Crassostrea gigas	Bivalve	poly(I:C) HMW (1.5-8 kb); also poly(I:C) LMW, GFP-dsRNA, OsHV-1 dsRNA and OsHV-1 ssRNA	Pathogen/immune	Juvenile	19 ug poly(I:C) HMW per g oyster flesh in 20-40 uL injected into the adductor muscle vs filtered seawater; dose-response run from 1.9 ng to 19 ug per g, protection detectable from 0.019 ug per g; bath route also effective at 0.76 and 0.38 ug/mL for 2.5 h	single injection	F0	Within-generation only	OsHV-1 uVar challenge by injection of viral suspension (titre not recoverable from the open-access text -- superscript exponent lost in conversion; consult the PDF before quoting a titre) at 1, 14, 28, 56 and 126 d post-priming	126	Yes	Persisted	survival (Kaplan-Meier, log-rank); OsHV-1 DNA load by qPCR; poly(I:C) persistence in seawater and haemolymph by immuno-northern blot (J2 anti-dsRNA)	Improved	Survival 89-96% in poly(I:C)-primed oysters at all five challenge timepoints from 1 to 126 d post-priming; in the nucleic-acid comparison poly(I:C) HMW gave 100% and LMW 97% survival vs 20% survival (80% mortality) in filtered-seawater controls; other nucleic acids 83-90%; viral DNA below qPCR detection limit in poly(I:C) groups	Targeted qPCR	Not evaluated	Aquaculture	3 replicate tanks per condition; 1200 spat primed per condition; 120 spat challenged per timepoint (plus 120 control-inoculum)	Full text	None found	Longest laboratory persistence window in the sub-literature. Critically, poly(I:C) itself was undetectable in haemolymph by 24 h and in seawater by 48 h, so protection at 126 d cannot be residual elicitor. Protection was virus-specific: poly(I:C)-primed oysters challenged with Vibrio crassostreae LGP32 reached only 13% survival vs 24% in controls. Results reproduced across cohorts of different genetic background
Lafont_2017b	10.1038/s41598-017-13564-0	29030632	2017	Crassostrea gigas	Bivalve	poly(I:C) HMW (synthetic dsRNA viral mimic)	Pathogen/immune	Juvenile	19 ug poly(I:C) HMW per g oyster (2016 deployment) or 10 ug per oyster (2015 deployment) by adductor-muscle injection vs filtered seawater or non-treated	single injection at 126, 99, 71 or 1 d before field deployment	F0	Within-generation only	natural OsHV-1 disease outbreak after deployment in the Thau lagoon, Mediterranean (2015 and 2016 seasons)	156	Yes	Persisted	survival during a natural outbreak; OsHV-1 DNA load by qPCR	Improved	2015 deployment: 80% survival in poly(I:C)-primed vs 29% in non-treated (+51 percentage points), survival maintained 119 d after immersion; 2016 deployment: 83-92% survival across all four priming lead times, protection maintained to the end of the experiment at 156 d (>5 months); viral loads reduced but detectable in primed oysters from 14 d post-immersion	Targeted qPCR	Not evaluated	Aquaculture	100 oysters per condition for mortality monitoring plus 72 for sampling; two independent deployments in successive years	Full text	None found	The only field/natural-outbreak validation of immune priming in a marine invertebrate, and the longest protection duration reported anywhere in this literature (156 d). Mortality in controls only began 30 d after immersion, so the field window includes both a long priming interval and a long observation period
Lafont_2018	10.1016/j.dci.2018.09.022	30278186	2018	Crassostrea gigas	Bivalve	poly(I:C) (synthetic dsRNA viral mimic)	Pathogen/immune	Broodstock/adult	not reported (poly(I:C) exposure of mothers and of fathers separately prior to spawning; dose not stated in retrievable text)	single parental exposure before spawning	F0-F1	Maternal	OsHV-1 exposure of F1 larvae	not reported	No	Not tested	F1 larval survival to OsHV-1; F1 larval transcriptome (RNA-seq) in unchallenged larvae	Improved	Larvae had higher survival to OsHV-1 when mothers, but not fathers, were exposed to poly(I:C) before spawning (percentages not in the retrievable text); RNA-seq gave no evidence that parental poly(I:C) exposure reconfigures antiviral gene expression in unchallenged larvae	Transcriptome (RNA-seq)	Discordant (survival phenotype present but no corresponding transcriptomic reconfiguration in unchallenged larvae)	Aquaculture	not reported	Abstract only	None found	Resolves the transmission route of oyster TGIP as maternal, not paternal. A rare explicit phenotype/molecular discordance: the authors conclude maternal provisioning of antiviral compounds in eggs is more likely than transcriptional or epigenetic reprogramming
Lafont_2020	10.1128/mBio.02777-19	32156821	2020	Crassostrea gigas	Bivalve	poly(I:C) HMW (synthetic dsRNA viral mimic)	Pathogen/immune	Juvenile	19 ug poly(I:C) HMW per g oyster in 40 uL injected into the adductor muscle vs filtered seawater; oysters were a biparental family (F11) 100% susceptible to POMS	single injection; animals held at 15 C	F0	Within-generation only	OsHV-1 injection challenge at 10 d post-priming (1.32 x 10^n copies DP gene per oyster) in the short-term arm and at 126 d post-priming (1.22 x 10^n copies DP gene per uL) in the long-term arm	126	Yes	Persisted	survival (Kaplan-Meier, log-rank); OsHV-1 DNA load by qPCR and viral transcript counts from RNA-seq; host hemocyte/whole-animal transcriptome at 1, 14, 56 and 126 d post-priming	Improved	10 d arm: 100% survival in poly(I:C)-primed vs 5% in filtered-seawater controls at 10 d post-challenge (+95 percentage points, log-rank p<0.0001, n=60); viral DNA load 200-fold lower at 1 d post-challenge. 126 d arm: significant survival advantage retained (log-rank p<0.0001, n=45); sustained upregulation of interferon-pathway and apoptosis genes maintained over 4 months	Transcriptome (RNA-seq); Targeted qPCR	Concordant	Aquaculture	4 replicate 5-L tanks per condition; 15 oysters per tank for survival (n=60) plus 75 per tank for sampling; long-term arm 45 oysters (15 per tank, 3 tanks); 3 pools of 15 (short arm) or 3 pools of 3 (long arm) per sampling point	Full text	None found	Mechanistic anchor for the sustained-response model: priming reverses a genetically POMS-susceptible family from susceptible to resistant. Notably the elevated immune baseline did NOT produce a strong secondary response on infection - it is a persistent alert state, not a recall response. No survival cost detected over the 4-month priming period, in contrast to the larval costs reported by Robinson & Green 2020
Robinson_2020	10.1016/j.fsi.2020.04.047	32334127	2020	Crassostrea gigas	Bivalve	poly(I:C) (synthetic dsRNA viral mimic)	Pathogen/immune	Broodstock/adult	not reported (poly(I:C) treatment of mothers; dose not stated in the retrievable text)	single maternal treatment before spawning	F0-F1	Maternal	none (baseline only) - offspring traits measured without pathogen challenge; the OsHV-1 survival benefit is taken from prior work	not reported	No	Not tested	F1 larval size; total bacterial load and Vibrio load in larvae (microbiome)	Worsened	Larvae produced from poly(I:C)-treated mothers were smaller and carried higher total bacterial and Vibrio loads than control larvae (magnitudes not in the retrievable text)	Targeted qPCR	Not evaluated	Aquaculture	not reported	Abstract only	None found	The key trade-off paper in this sub-literature: the maternal antiviral priming benefit is paid for in larval growth rate and microbiome destabilisation. Directly opposes Cheng et al. 2024, where inactivated-Vibrio priming of oyster larvae accelerated growth and settlement
de_Kantzow_2023a	10.3390/v15091943	37766349	2023	Crassostrea gigas	Bivalve	poly(I:C) (synthetic dsRNA viral mimic)	Pathogen/immune	Juvenile	250 ug poly I:C per oyster in 50 uL injected into the adductor muscle vs 50 uL sterile artificial seawater and vs OsHV-1-free oyster tissue homogenate; triploid spat 20-30 mm	single injection; 14 d at 18 C then temperature raised to 22 C over 6 h	F0	Within-generation only	injection of virulent OsHV-1 (6 x 10^n genome copies per oyster) at 22 C, 21 d (3 weeks) after priming; monitored 14 d	21	No	Not tested	cumulative mortality over 14 d post-challenge with PCR confirmation; OsHV-1 DNA concentration at death and in survivors; OsHV-1 prevalence in survivors	Improved	0% mortality in the poly I:C group vs 53% in the sterile-seawater control and 55% in the tissue-homogenate control; hazard ratio 0.02 (Cox PH, tank as random effect); OsHV-1 DNA undetectable in all poly I:C survivors vs 70% prevalence in seawater-primed survivors (odds ratio 0.02)	Targeted qPCR	Not evaluated	Aquaculture	80 oysters per treatment group; 20 oysters per tank; 4 water baths of 6 tanks; sample size powered at 80% for HR 4	Full text	None found	Only study to benchmark poly I:C directly against live and inactivated virus in one design. Authors flag that poly I:C is unlikely to be acceptable in food oysters given mammalian toxicity (mortality at 30 mg/kg in rhesus monkeys, 5 mg/kg in beagles) and that duration of protection and residue/withholding data are absent
de_Kantzow_2023b	10.3390/v15091943	37766349	2023	Crassostrea gigas	Bivalve	heat-inactivated OsHV-1 (50 C for 20 min); sublethal infectious OsHV-1 administered at a non-permissive 18 C	Pathogen/immune	Juvenile	3 x 10^n OsHV-1 genome copies per oyster in 50 uL injected into the adductor muscle, either heat-inactivated or infectious, vs 50 uL sterile artificial seawater and vs OsHV-1-free tissue homogenate	single injection; 14 d at 18 C then temperature raised to 22 C	F0	Within-generation only	injection of virulent OsHV-1 (6 x 10^n genome copies per oyster) at 22 C, 21 d after priming; monitored 14 d	21	No	Not tested	cumulative mortality over 14 d post-challenge; mortality during the 21 d priming phase; OsHV-1 DNA load and prevalence in survivors	Improved	Cumulative mortality 26.7% with heat-inactivated OsHV-1 (hazard ratio 0.41, relative percent survival 51.5%) and 12.8% with infectious OsHV-1 (HR 0.18, RPS 76.8%) vs 53% in the sterile-seawater control; 12.5% (95% CI 8.2-18.6) mortality occurred during the priming phase in the infectious group only, and none in any other group	Targeted qPCR	Not evaluated	Aquaculture	80 oysters per treatment (160 for the infectious-OsHV-1 group to allow for priming mortality); 20 oysters per tank	Full text	None found	Establishes that viral replication is NOT required to induce protection (heat-inactivated virus worked), but that live priming is stronger than inactivated, implying an additional replication-dependent (e.g. RNAi) component on top of the PAMP effect. Inactivated virus avoids the 12.5% priming mortality and the biosecurity risk of moving infected stock
Matsuyama_2026	10.3390/pathogens15040380	42075707	2026	Pinctada fucata	Bivalve	sublethal live Pinctada birnavirus (PiBV) infection at a non-permissive low water temperature	Pathogen/immune	Juvenile	PiBV 4.4 x 10^n copies per container, 1 h static immersion of approximately 370 acclimated juveniles, at low water temperature 18-20 C (non-lethal) vs uninfected controls; high-temperature 24-25 C controls used to show lethality	1 h immersion; then 28 d at 18-20 C before acclimation to 24-25 C over 7 d	F0	Within-generation only	re-infection with PiBV (8.7 x 10^n copies per dish, 1 h immersion) at 24-25 C, 35 d after the first infection; mortality followed 22 d; plus ex vivo PiBV challenge of mantle explants from survivors at 96 d post-infection	35	Yes	Persisted	cumulative mortality; mantle atrophy; PiBV load in tissue and viral shedding into seawater; PiBV replication in ex vivo mantle explants; transcriptome at 28 d post-infection	Improved	10% mortality in previously infected survivors vs approximately 50% in naive oysters challenged under identical high-temperature conditions (-40 percentage points, significant); first infection at 24-25 C in naive juveniles caused approximately 80% mortality whereas mortality at 18-20 C was <30% and not different from uninfected controls; PiBV replication significantly reduced in mantle explants from previously infected oysters	Transcriptome (RNA-seq)	Partial	Aquaculture	3 subgroups of 20 individuals per group in the re-infection trial; 50 oysters per 8 L aquarium in the first infection; mantle explants from individual oysters in 48-well plates	Full text	None found	Only non-herpesvirus bivalve virus system in this table and the only one showing tissue-autonomous resistance: mantle explants alone resisted PiBV. Important caveat the authors raise themselves - culture supernatants of survivor explants were PiBV-RNA-positive without inoculation, so persistent low-level infection may sustain the primed state rather than true immune memory. Interferon-like genes showed no appreciable change, so the mechanism is unresolved
